Date,High,Low,Open,Close,Volume,Adj Close,PPG-15ma,PPG-50ma,PPG-100ma,PPG-200ma
2000-01-03,31.3125,29.8125,31.3125,30.0,1100000.0,18.00662612915039,18.00662612915039,18.00662612915039,18.00662612915039,18.00662612915039
2000-01-04,29.96875,28.90625,29.875,28.96875,1179600.0,17.387653350830078,17.697139739990234,17.697139739990234,17.697139739990234,17.697139739990234
2000-01-05,30.125,29.0,29.0,30.0625,1660400.0,18.044143676757812,17.81280771891276,17.81280771891276,17.81280771891276,17.81280771891276
2000-01-06,32.21875,30.0625,30.0625,31.5,2151400.0,18.906963348388672,18.08634662628174,18.08634662628174,18.08634662628174,18.08634662628174
2000-01-07,32.25,31.625,31.71875,32.0625,1624600.0,19.244585037231445,18.31799430847168,18.31799430847168,18.31799430847168,18.31799430847168
2000-01-10,31.9375,30.90625,31.9375,31.0625,1145400.0,18.644365310668945,18.37238947550456,18.37238947550456,18.37238947550456,18.37238947550456
2000-01-11,31.0625,30.46875,30.9375,30.9375,1118600.0,18.569337844848633,18.400524956839426,18.400524956839426,18.400524956839426,18.400524956839426
2000-01-12,31.8125,30.9375,30.9375,31.40625,1163200.0,18.85068702697754,18.45679521560669,18.45679521560669,18.45679521560669,18.45679521560669
2000-01-13,32.53125,31.4375,31.5,32.1875,1694400.0,19.319618225097656,18.552664438883465,18.552664438883465,18.552664438883465,18.552664438883465
2000-01-14,32.25,31.1875,32.125,31.5,1915600.0,18.906963348388672,18.588094329833986,18.588094329833986,18.588094329833986,18.588094329833986
2000-01-18,31.375,30.75,31.0625,30.75,1619800.0,18.456806182861328,18.576159043745562,18.576159043745562,18.576159043745562,18.576159043745562
2000-01-19,30.71875,29.6875,30.4375,30.15625,1582600.0,18.100414276123047,18.536513646443684,18.536513646443684,18.536513646443684,18.536513646443684
2000-01-20,30.28125,28.75,30.28125,28.9375,870200.0,17.368892669677734,18.44669664823092,18.44669664823092,18.44669664823092,18.44669664823092
2000-01-21,29.65625,28.5625,29.0625,29.3125,1533000.0,17.59398078918457,18.385788372584752,18.385788372584752,18.385788372584752,18.385788372584752
2000-01-24,29.75,28.8125,29.5625,29.0,1129200.0,17.406408309936523,18.320496368408204,18.320496368408204,18.320496368408204,18.320496368408204
2000-01-25,29.40625,27.75,29.125,28.28125,1708600.0,16.974998474121094,18.25172119140625,18.23640275001526,18.23640275001526,18.23640275001526
2000-01-26,29.0625,28.25,28.375,28.71875,1723000.0,17.23759651184082,18.2417174021403,18.17764944188735,18.17764944188735,18.17764944188735
2000-01-27,29.40625,28.90625,29.0,29.0625,1519600.0,17.443927764892578,18.20170300801595,18.136887126498753,18.136887126498753,18.136887126498753
2000-01-28,28.96875,27.375,28.96875,28.34375,1126200.0,17.01251983642578,18.075406773885092,18.07770990070544,18.07770990070544,18.07770990070544
