Date,High,Low,Open,Close,Volume,Adj Close,SLB-15ma,SLB-50ma,SLB-100ma,SLB-200ma
2000-01-03,27.84375,26.8125,27.8125,27.46875,7239800.0,19.19792366027832,19.19792366027832,19.19792366027832,19.19792366027832,19.19792366027832
2000-01-04,27.78125,26.875,26.96875,27.09375,7963000.0,18.935836791992188,19.066880226135254,19.066880226135254,19.066880226135254,19.066880226135254
2000-01-05,27.5,26.75,27.03125,27.03125,4826200.0,18.89215087890625,19.008637110392254,19.008637110392254,19.008637110392254,19.008637110392254
2000-01-06,29.03125,27.03125,27.1875,28.875,8005000.0,20.180755615234375,19.301666736602783,19.301666736602783,19.301666736602783,19.301666736602783
2000-01-07,30.03125,29.0625,29.21875,29.40625,7368600.0,20.552043914794922,19.551742172241212,19.551742172241212,19.551742172241212,19.551742172241212
2000-01-10,29.78125,28.9375,29.375,29.6875,5301600.0,20.748600006103516,19.75121847788493,19.75121847788493,19.75121847788493,19.75121847788493
2000-01-11,30.4375,29.21875,29.78125,30.28125,5525600.0,21.1635799407959,19.952984401157924,19.952984401157924,19.952984401157924,19.952984401157924
2000-01-12,30.53125,29.53125,30.03125,29.59375,4767600.0,20.68308448791504,20.044246912002563,20.044246912002563,20.044246912002563,20.044246912002563
2000-01-13,30.75,29.6875,29.6875,30.4375,4431000.0,21.272781372070312,20.18075074089898,20.18075074089898,20.18075074089898,20.18075074089898
2000-01-14,31.1875,30.125,30.59375,30.75,4340400.0,21.49118995666504,20.311794662475585,20.311794662475585,20.311794662475585,20.311794662475585
2000-01-18,33.375,30.875,31.0,33.0625,10215200.0,23.107404708862305,20.565941030328926,20.565941030328926,20.565941030328926,20.565941030328926
2000-01-19,33.25,32.53125,33.0,32.9375,6894200.0,23.02003288269043,20.770448684692383,20.770448684692383,20.770448684692383,20.770448684692383
2000-01-20,32.625,31.625,32.40625,32.28125,5076800.0,22.561382293701172,20.908212808462288,20.908212808462288,20.908212808462288,20.908212808462288
2000-01-21,33.8125,32.4375,32.46875,33.0,8978600.0,23.0637149810791,21.06217724936349,21.06217724936349,21.06217724936349,21.06217724936349
2000-01-24,33.46875,32.0,33.125,32.15625,5464400.0,22.474018096923828,21.15629997253418,21.15629997253418,21.15629997253418,21.15629997253418
2000-01-25,32.375,31.25,31.65625,31.75,6135600.0,22.19009017944336,21.355777740478516,21.220911860466003,21.220911860466003,21.220911860466003
2000-01-26,32.5,30.78125,32.125,31.4375,6799600.0,21.971683502197266,21.558167521158854,21.265074898214902,21.265074898214902,21.265074898214902
2000-01-27,32.25,30.65625,31.3125,31.25,8198000.0,21.84063720703125,21.754733276367187,21.297050582038032,21.297050582038032,21.297050582038032
2000-01-28,31.625,29.875,31.0625,30.0,6604200.0,20.967018127441406,21.80715077718099,21.279680452848737,21.279680452848737,21.279680452848737
2000-01-31,30.78125,29.875,30.1875,30.53125,4803200.0,21.338306427001953,21.859568277994793,21.282611751556395,21.282611751556395,21.282611751556395
2000-02-01,32.03125,30.875,30.96875,31.96875,3888400.0,22.34297752380371,21.96586011250814,21.33310535975865,21.33310535975865,21.33310535975865
2000-02-02,32.5625,30.625,32.25,30.75,6333000.0,21.49118995666504,21.987700780232746,21.340291023254395,21.340291023254395,21.340291023254395
2000-02-03,31.125,30.375,31.0,30.65625,4744400.0,21.425670623779297,22.0372065226237,21.344003179798957,21.344003179798957,21.344003179798957
2000-02-04,30.65625,29.375,30.375,29.75,6238600.0,20.792287826538086,22.005173619588216,21.321015040079754,21.321015040079754,21.321015040079754
2000-02-07,30.75,29.5625,29.5625,30.34375,4456000.0,21.20726776123047,21.98624547322591,21.316465148925783,21.316465148925783,21.316465148925783
2000-02-08,30.84375,29.375,30.5625,29.75,3218600.0,20.792287826538086,21.83190434773763,21.2963044826801,21.2963044826801,21.2963044826801
2000-02-09,30.15625,28.46875,29.75,28.53125,5931400.0,19.940505981445312,21.626602554321288,21.246089723375107,21.246089723375107,21.246089723375107
