Date,High,Low,Open,Close,Volume,Adj Close,HSY-15ma,HSY-50ma,HSY-100ma,HSY-200ma
2000-01-03,23.75,23.03125,23.5,23.1875,906400.0,14.691230773925781,14.691230773925781,14.691230773925781,14.691230773925781,14.691230773925781
2000-01-04,23.0,22.21875,22.875,22.3125,1060000.0,14.136842727661133,14.414036750793457,14.414036750793457,14.414036750793457,14.414036750793457
2000-01-05,23.25,22.1875,22.375,22.40625,1087400.0,14.196246147155762,14.341439882914225,14.341439882914225,14.341439882914225,14.341439882914225
2000-01-06,23.65625,22.4375,22.53125,23.0,1002400.0,14.572436332702637,14.399188995361328,14.399188995361328,14.399188995361328,14.399188995361328
2000-01-07,23.46875,22.625,23.03125,23.0625,805800.0,14.612030029296875,14.441757202148438,14.441757202148438,14.441757202148438,14.441757202148438
2000-01-10,23.40625,22.84375,23.0,23.125,659200.0,14.651630401611328,14.476736068725586,14.476736068725586,14.476736068725586,14.476736068725586
2000-01-11,23.25,22.375,23.125,22.65625,813200.0,14.354640007019043,14.45929377419608,14.45929377419608,14.45929377419608,14.45929377419608
2000-01-12,23.28125,22.34375,22.78125,22.5,684000.0,14.255647659301758,14.43383800983429,14.43383800983429,14.43383800983429,14.43383800983429
2000-01-13,22.71875,22.28125,22.5,22.34375,500600.0,14.156646728515625,14.40303897857666,14.40303897857666,14.40303897857666,14.40303897857666
2000-01-14,22.4375,20.0,22.4375,21.28125,9517000.0,13.483464241027832,14.311081504821777,14.311081504821777,14.311081504821777,14.311081504821777
2000-01-18,21.5,20.8125,21.28125,21.5,1003400.0,13.622058868408203,14.248443083329635,14.248443083329635,14.248443083329635,14.248443083329635
2000-01-19,21.6875,21.0625,21.25,21.5625,1031400.0,13.66165542602539,14.199544111887613,14.199544111887613,14.199544111887613,14.199544111887613
2000-01-20,21.5625,21.0,21.53125,21.09375,1087400.0,13.364664077758789,14.135322570800781,14.135322570800781,14.135322570800781,14.135322570800781
2000-01-21,21.21875,20.375,21.09375,20.625,960200.0,13.067671775817871,14.059061799730573,14.059061799730573,14.059061799730573,14.059061799730573
2000-01-24,20.8125,20.0625,20.8125,20.0625,665800.0,12.711280822753906,13.969209734598795,13.969209734598795,13.969209734598795,13.969209734598795
2000-01-25,20.59375,19.65625,20.1875,19.90625,641600.0,12.612283706665039,13.830613263448079,13.884401857852936,13.884401857852936,13.884401857852936
