Date,High,Low,Open,Close,Volume,Adj Close,GPN-15ma,GPN-50ma,GPN-100ma,GPN-200ma
2001-01-16,3.75,3.75,3.75,3.75,3200.0,3.60863995552063,3.60863995552063,3.60863995552063,3.60863995552063,3.60863995552063
2001-01-17,3.75,3.75,3.75,3.75,122800.0,3.60863995552063,3.60863995552063,3.60863995552063,3.60863995552063,3.60863995552063
2001-01-18,4.125,3.875,3.875,4.125,167200.0,3.9695029258728027,3.7289276123046875,3.7289276123046875,3.7289276123046875,3.7289276123046875
2001-01-19,4.28125,4.1875,4.1875,4.28125,59600.0,4.119861125946045,3.826660990715027,3.826660990715027,3.826660990715027,3.826660990715027
2001-01-22,4.625,4.25,4.25,4.5625,146800.0,4.390511989593506,3.9394311904907227,3.9394311904907227,3.9394311904907227,3.9394311904907227
2001-01-23,4.78125,4.5,4.5,4.6875,76000.0,4.510800838470459,4.034659465154012,4.034659465154012,4.034659465154012,4.034659465154012
2001-01-24,4.625,4.5625,4.625,4.5625,560000.0,4.390511989593506,4.08549554007394,4.08549554007394,4.08549554007394,4.08549554007394
2001-01-25,4.6875,4.625,4.65625,4.6875,143200.0,4.510800838470459,4.138658702373505,4.138658702373505,4.138658702373505,4.138658702373505
2001-01-26,4.640625,4.625,4.625,4.625,82000.0,4.45065450668335,4.173324902852376,4.173324902852376,4.173324902852376,4.173324902852376
2001-01-29,4.6875,4.599999904632568,4.630000114440918,4.675000190734863,262000.0,4.498772144317627,4.2058696269989015,4.2058696269989015,4.2058696269989015,4.2058696269989015
2001-01-30,4.675000190734863,4.587500095367432,4.675000190734863,4.650000095367432,339200.0,4.474711894989014,4.23030983317982,4.23030983317982,4.23030983317982,4.23030983317982
2001-01-31,4.762499809265137,4.675000190734863,4.675000190734863,4.6875,326000.0,4.510800838470459,4.2536840836207075,4.2536840836207075,4.2536840836207075,4.2536840836207075
2001-02-01,5.300000190734863,4.690000057220459,4.75,5.224999904632568,2556800.0,5.028040409088135,4.31324995481051,4.31324995481051,4.31324995481051,4.31324995481051
2001-02-02,5.25,5.150000095367432,5.1875,5.207499980926514,795600.0,5.011198043823242,4.36310338973999,4.36310338973999,4.36310338973999,4.36310338973999
2001-02-05,5.362500190734863,4.980000019073486,5.212500095367432,4.992499828338623,644800.0,4.8043012619018555,4.392516581217448,4.392516581217448,4.392516581217448,4.392516581217448
2001-02-06,5.005000114440918,4.9375,4.974999904632568,4.9375,1338800.0,4.751374244689941,4.468698867162069,4.414945185184479,4.414945185184479,4.414945185184479
2001-02-07,5.0,4.912499904632568,4.925000190734863,5.0,1350400.0,4.811519145965576,4.548890813191732,4.438273065230426,4.438273065230426,4.438273065230426
2001-02-08,5.039999961853027,4.875,5.0,4.875,578800.0,4.691230297088623,4.597005971272787,4.452326244778103,4.452326244778103,4.452326244778103
2001-02-09,4.9375,4.875,4.875,4.9375,441600.0,4.751374244689941,4.6391068458557125,4.468065613194516,4.468065613194516,4.468065613194516
2001-02-12,4.9375,4.824999809265137,4.9375,4.824999809265137,327200.0,4.6431145668029785,4.655947017669678,4.476818060874939,4.476818060874939,4.476818060874939
2001-02-13,4.885000228881836,4.8125,4.824999809265137,4.8125,648800.0,4.631088733673096,4.663966210683187,4.484164283389137,4.484164283389137,4.484164283389137
2001-02-14,4.8125,4.767499923706055,4.8125,4.769999980926514,135600.0,4.5901899337768555,4.677278073628743,4.488983631134033,4.488983631134033,4.488983631134033
2001-02-15,4.787499904632568,4.574999809265137,4.775000095367432,4.574999809265137,454400.0,4.402540683746338,4.670060729980468,4.485225242117177,4.485225242117177,4.485225242117177
2001-02-16,4.525000095367432,4.349999904632568,4.525000095367432,4.517499923706055,427200.0,4.347208499908447,4.663164329528809,4.4794745445251465,4.4794745445251465,4.4794745445251465
2001-02-20,4.537499904632568,4.452499866485596,4.517499923706055,4.522500038146973,1000400.0,4.352020740509033,4.653380902608236,4.474376392364502,4.474376392364502,4.474376392364502
2001-02-21,4.522500038146973,4.474999904632568,4.522500038146973,4.519999980926514,443600.0,4.349611759185791,4.645040893554688,4.46957775262686,4.46957775262686,4.46957775262686
2001-02-22,4.534999847412109,4.474999904632568,4.519999980926514,4.507500171661377,623600.0,4.33758544921875,4.633493200937907,4.464689148796929,4.464689148796929,4.464689148796929
2001-02-23,4.675000190734863,4.5,4.525000095367432,4.612500190734863,1222800.0,4.438626289367676,4.594198926289876,4.463758332388742,4.463758332388742,4.463758332388742
2001-02-26,4.78000020980835,4.625,4.625,4.75,1182400.0,4.570943355560303,4.564848613739014,4.46745436767052,4.46745436767052,4.46745436767052
2001-02-27,4.75,4.724999904632568,4.75,4.724999904632568,690000.0,4.5468854904174805,4.547687562306722,4.470102071762085,4.470102071762085,4.470102071762085
2001-02-28,4.75,4.712500095367432,4.724999904632568,4.75,326000.0,4.570943355560303,4.535658836364746,4.473355016400737,4.473355016400737,4.473355016400737
2001-03-01,4.724999904632568,4.675000190734863,4.724999904632568,4.675000190734863,155200.0,4.498772144317627,4.514809036254883,4.47414930164814,4.47414930164814,4.47414930164814
2001-03-02,4.702499866485596,4.675000190734863,4.6875,4.690000057220459,836800.0,4.513204574584961,4.502940654754639,4.4753327947674375,4.4753327947674375,4.4753327947674375
2001-03-05,4.762499809265137,4.6875,4.6875,4.752500057220459,402800.0,4.573349475860596,4.491072336832683,4.478215638329001,4.478215638329001,4.478215638329001
2001-03-06,4.775000095367432,4.699999809265137,4.752500057220459,4.699999809265137,610000.0,4.522829532623291,4.483053334554037,4.479490321023124,4.479490321023124,4.479490321023124
2001-03-07,4.747499942779541,4.699999809265137,4.699999809265137,4.747499942779541,89600.0,4.568536281585693,4.478883171081543,4.481963819927639,4.481963819927639,4.481963819927639
2001-03-08,4.744999885559082,4.699999809265137,4.744999885559082,4.699999809265137,211600.0,4.522829532623291,4.474392477671305,4.483068298649144,4.483068298649144,4.483068298649144
2001-03-09,4.702499866485596,4.675000190734863,4.699999809265137,4.695000171661377,269600.0,4.518017768859863,4.482090950012207,4.483988021549425,4.483988021549425,4.483988021549425
2001-03-12,4.724999904632568,4.662499904632568,4.695000171661377,4.675000190734863,106400.0,4.498772144317627,4.492195192972819,4.484367101620405,4.484367101620405,4.484367101620405
2001-03-13,4.712500095367432,4.612500190734863,4.712500095367432,4.612500190734863,671600.0,4.438626289367676,4.497968896230062,4.483223581314087,4.483223581314087,4.483223581314087
2001-03-14,4.637499809265137,4.46750020980835,4.612500190734863,4.474999904632568,455600.0,4.306309700012207,4.495082092285156,4.478908608599407,4.478908608599407,4.478908608599407
2001-03-15,4.449999809265137,4.287499904632568,4.449999809265137,4.357500076293945,1160400.0,4.193239688873291,4.485459041595459,4.472106967653547,4.472106967653547,4.472106967653547
2001-03-16,4.449999809265137,4.337500095367432,4.387499809265137,4.337500095367432,402800.0,4.17399263381958,4.467816797892253,4.465174076169036,4.465174076169036,4.465174076169036
2001-03-19,4.4375,4.287499904632568,4.287499904632568,4.300000190734863,1173600.0,4.1379075050354,4.438947741190592,4.457736199552363,4.457736199552363,4.457736199552363
2001-03-20,4.389999866485596,4.25,4.3125,4.275000095367432,222000.0,4.11384916305542,4.410078652699789,4.450094265407986,4.450094265407986,4.450094265407986
2001-03-21,4.300000190734863,4.0625,4.275000095367432,4.162499904632568,135200.0,4.005589962005615,4.372388426462809,4.4404311283775,4.4404311283775,4.4404311283775
2001-03-22,4.462500095367432,4.25,4.3125,4.462500095367432,2125600.0,4.294281005859375,4.358755683898925,4.437321551302646,4.437321551302646,4.437321551302646
2001-03-23,4.574999809265137,4.474999904632568,4.474999904632568,4.574999809265137,757600.0,4.402540683746338,4.351378091176351,4.436596949895223,4.436596949895223,4.436596949895223
2001-03-26,4.625,4.570000171661377,4.612500190734863,4.625,207600.0,4.45065450668335,4.343198426564535,4.436883838809266,4.436883838809266,4.436883838809266
